"cell","width","arm","wns_ns","source","copied"
"rodent_mod","8","forced_dsp","0.453","<BITGEN>\out_dsp\gru_L20_rodent_mod_w8_dsp.bit","True"
"rodent_mod","9","default","0.501","<BITGEN>\out\gru_L20_rodent_mod_w9.bit","True"
"rodent_mod","10","default","0.592","<BITGEN>\out\gru_L20_rodent_mod_w10.bit","True"
"rodent_mod","11","default","0.315","<BITGEN>\out\gru_L20_rodent_mod_w11.bit","True"
"rodent_mod","12","default","0.265","<BITGEN>\out\gru_L20_rodent_mod_w12.bit","True"
"rodent_mod","13","default","0.400","<BITGEN>\out\gru_L20_rodent_mod_w13.bit","True"
"rodent_mod","14","default","0.849","<BITGEN>\out\gru_L20_rodent_mod_w14.bit","True"
"rodent_mod","15","default","0.329","<BITGEN>\out\gru_L20_rodent_mod_w15.bit","True"
"rodent_mod","16","default","0.162","<BITGEN>\out\gru_L20_rodent_mod_w16.bit","True"
"rodent_mod","17","default","0.525","<BITGEN>\out\gru_L20_rodent_mod_w17.bit","True"
"rodent_mod","18","default","0.362","<BITGEN>\out\gru_L20_rodent_mod_w18.bit","True"
"rodent_mod","19","default","0.774","<BITGEN>\out\gru_L20_rodent_mod_w19.bit","True"
"rodent_mod","20","default","0.082","<BITGEN>\out\gru_L20_rodent_mod_w20.bit","True"
"rodent_mod","21","forced_dsp","0.030","<BITGEN>\out_dsp\gru_L20_rodent_mod_w21_dsp.bit","True"
"rodent_mod","22","strategy_race(Performance_Retiming)","0.28429257869720459","<BITGEN>\out_dsp\gru_L20_rodent_mod_w22_dsp_best.bit","True"
"rodent_mod","23","default","0.109","<BITGEN>\out\gru_L20_rodent_mod_w23.bit","True"
"rodent_mod","24","default","0.164","<BITGEN>\out\gru_L20_rodent_mod_w24.bit","True"
"rodent_max","8","forced_dsp","0.554","<BITGEN>\out_dsp\gru_L20_rodent_max_w8_dsp.bit","True"
"rodent_max","9","default","0.515","<BITGEN>\out\gru_L20_rodent_max_w9.bit","True"
